decoded_french,labels,decoded_hyp_list
Une course blanche dans la terre et l'eau,1,Un conducteur professionnel manufacturier une voiture.
C'est une belle soirée avec la rivière et le soleil.,1,Le ciel est rouge
Huit travailleurs construisent un échafaudage en acier.,0,Les travailleurs de la construction aident à construire un échafaudage
Une femme en hula-hoop vert devant une foule.,0,Une femme agite ses hanches.
Une femme en jupe florale qui marche par le tapis de blanchisserie,0,Une femme traverse un tapis de blanchisserie.
Un petit garçon portant un sac à dos saute d'un,1,Le petit garçon saute dans le parc.
Un musicien tatoué à forte teneur en t,0,un musicien parle en micro
Un homme qui prend une photographie et qui tient une carte postale,0,L'homme a une caméra.
Une femme gardant le broom à côté des roches en,1,Un homme en hauteur.
Cet homme est en course à vélo.,0,Un homme évolue à l’intérieur d’un cycl
Cowboy en rouleant un taureau portant une veste bleue,0,Un homme évolue à bord d'un animal.
Une femme assise derrière un jeune garçon avec ses mains sur sa,2,l’homme a l’habitude de s’en tenir à
Un homme en rouge et noir frappe une balle de soccer avec,2,L'homme joueait le basket-ball avec ses amis.
Trois chiens à pied sur le bord de l'eau de la r,0,Les chiens marchent sur la rive.
Un joueur de football tente de s'attaquer à un autre joueur qui,2,Quelque chose est à l'intérieur d'un spa.
Une femme en jeans et une cabane sur un passage inférieur dorman,1,Une femme en capote dorme sur quatre sièges du métro.
Un chien s'étend sur la neige et a un gros bâ,0,Un animal est en mouvement avec un objet.
Une bonne glisse dans la maison à un jeu philly,1,Un homme vient de s'installer dans la base de son domicile.
"Une foule de gens regardent quelque chose hors cadre, un homme prend",1,Ils cherchent à obtenir quelque chose d'intéressant
un garçon effectue un ralentissement sur un moto BMX.,2,Le garçon danse.
Les gens qui regardent des aliments sur une table.,0,Les aliments ont été préparés.
Groupe de personnes dansant les uns avec les autres.,0,Le club était à la fois abondant de grands danseurs.
Une femme dans un lit d'hôpital ayant un nouveau-né.,2,Une infirmière a la charge d'un nouveau-né à
Les spectateurs regardent un tournant de taureau à mesure que le tour,0,Les spectateurs regardent un tournant de taureau comme un tournant de
Un garçon sur un scooter à l'extérieur d'un magasin de jouet,0,Il y a un garçon sur un scooter.
"Une souriante femme foncée, tenue dans une chemise blanche",0,La femme a un instrument.
Une personne en uniforme bleu et blanc de baseball se tient sur un pied,0,Une personne tient une chauve-souris.
Un motocycliste saute dans l'air alors que quelqu'un,2,Le pilote est seul au milieu de l'océan.
"Un noir habilé à l'aise, fumant une cigarette,",0,Un homme a une fumée à l'extérieur.
Un jeune garçon à cheveux bruns marche avec une balle de soccer.,0,Un garçon a une balle de soccer.
Une fille plie la blanchisserie dans ce qui semble être une très petite pièce,0,une fille se plie
Un garçon saute dans une piscine tandis que les gardes de sauve,1,Un garçon saute dans la piscine tandis que ses parents et un
"Quatre personnes assient sur un rail, tous avec leur dos en avant",2,Quatre personnes sont allées au lit.
Deux petits enfants dans les promenades ont des visages à l',1,Les petits enfants adorent de porter des maquillages.
Deux filles préadolescentes écoutent de la musique,1,La musique est fort.
"Cinq musiciens, trois femmes et deux hommes, regardent sur un mur avec",1,Les instruments sont des guitares.
2 garçons et leur père jouant avec des feuilles.,1,l’assainissement des feuilles
Une fille fait un kiosque sur un trampoline extérieur t,2,"Une fille fait un kiosque sur un trampoline intérieur,"
Un joueur de balle molle s'envole vers la plate-form,1,il y a un tournoi
Un homme âgé qui regarde une statue masculine nue.,1,l'homme est un sculpteur
Un homme se tient avec ce qui semble être une table de sacs à main,1,Un homme se tient avec ce qui semble être une table de sacs à main
"Un garçon asiatique en orange, blanc et noir célébrant la fête de",0,un jeune enfant tient un sode et un ballon pour la journée des
Un garçon ayant des lunettes portant une chemise jaune vif se trouve,2,Une fille joue avec sa collection de poupées.
De nombreux hommes en combinaisons humides et lunettes de boucle,1,Les hommes sont à une cérémonie d'ouverture grandissante.
un jeune garçon portant un chapeau dansant dans la rue,2,Un jeune garçon dormant sur une couche.
Une fille tient un panneau qui oriente vers une lave-auto gratuite.,2,Une femme marche son chien à côté d'une lave-auto.
"Un homme vêtu de diverses teintes de vert, n",1,Un interprète portant le vert a un truc pendant un acte de
"Une femme, portant une sévère grise qui a quitté le",2,Une femme porte un helment de football
Un homme qui fait la construction d'un bâtiment.,2,L'homme lise le journal dans la taxicabine.
Un vélour s'envole devant une foule.,1,Le vélo est célèbre.
Un chien tan jouant avec un bâton sur la r,2,Le chat aime les boules de fil.
Un homme préparant des aliments dans sa cuisine.,1,le chef prépare des repas dans un restaurant
Une femme ayant un sac de bourreau sur sa tête conduit deux,0,Une femme ayant un sac à sa tête conduit des crotales.
d’un homme en sommet foncé d,2,une femme en sommet foncé tient une barre de
Un jeune homme mange un cône de crème glacée de chocolat à,0,l’homme mange un cône de glace
"Les enfants dansent dans un parc devant un gros objet gonflable, noir.",0,Les enfants dansent l'un avec l'autre pour se divertir
Un homme muni d'un chapeau de cowboy et d,2,l'homme tient un signe de liberté
"Les ours mannequins sur le gâteau sont verts, orange",2,Le gâteau a un givrage blanc et n'est
Ce groupe de personnes traverse un stationnement couvert de neige.,0,Les gens en hiver.
Deux danseurs mâles en chemises bleues et en,0,Deux hommes dansent devant les femmes.
Un bateau de voilier à maintes personnes navigue sur l'eau.,0,Le bateau est sur l'eau
Un homme qui a cartré une petite fille dans un baril de t,1,L'homme enchaîne sa fille.
"Deux personnes en avant, une femme en chemise blanche et un",0,"Deux personnes dans un parc, avec une remorque en fond."
Deux chiens se battent avec un jouet dans la cour.,0,Certains chiens jouent à l'extérieur.
Un homme vendant des ballons créatifs dans la rue.,2,L'homme s'envole en cercle
Une femme et un mâle s'assistent chacun sur le cana,2,Les gens sont à l'école.
Sept hommes sur le pont d'un voilier accomplissant différentes tâches liées,1,Les hommes naviguent dans l'océan.
Un homme et une femme se trouvent sur une plage avec d',2,La plage est contaminée.
"L'homme porte un dessus de char en coton gris, un chapeau de",0,Un homme portant un chant dans un microphone et jouant un bass
Deux chiens bruns jouant dans l'eau,2,les chiens sont tous deux rouges
"Dans cette image, tous les hommes des deux équipes de basket-ball ayant des",0,Les gens sautent.
Une femme en chemise blanche porte des lunettes.,2,La femme est recouverte de boue.
Trois personnes exécutent des exercices sur l'herbe.,1,Un petit groupe de yoga pratique dans un parc.
Les gens prennent leurs vêtements à l'extérieur de leurs tentes,1,Les femmes ne sont pas en mesure de se dérober
Deux petites filles en costumes rouges et noirs posent une,2,Les garçons sont en costume.
Deux hommes construisent un jeu comme pour une pièce peut-être.,0,Deux personnes construisent un espace où une pièce peut avoir lieu.
Une femme âgée s'occupe d'un bébé et le maintient,1,Elle est mère
Un joueur est attaqué pendant le jeu de football.,1,Deux équipes rivales se trouvent au Super Bowl.
Un grimpeur en arrière d'un chapeau dure jaune est,1,Ils se fatiguent de l’escalade
Quatre filles sautent sur le sable près de l'océan,2,Deux garçons jouent sur une boîte x.
"Un homme noir, sur un trottoir de la ville, joue l",1,Un homme recueille de l'argent pour jouer de la musique.
Un vieux homme en blanc et rose joue une guitare acou,0,Un homme joue un instrument.
Un adolescent développe sa technique de skateboarding devant un magnifique,2,Les adolescents brisent le skateboard.
Un couple nouvellement épouse prend une photo à l'extérieur des marches,1,Il est chaud à l'extérieur.
Quatre hommes (un porteur de lunettes de nage bleues),0,Quatre hommes (un porteur de lunettes de nage bleues)
L'homme s'éloigne du côté d'une falaise.,1,Il y a une personne qui skie et il est tombé
Un chien blanc transporte un flop rose dans la cour verte.,2,Le chien porte des flops.
Une femme porte une chemise rayée devant un jeune garçon à lunettes.,1,Une femme achète des vêtements pour son fils.
Un homme qui pêche le long du quai capte quelque chose à bord,0,Un pêcheur fait une prise.
Un chien noir mouillé saute dans une piscine pour récupérer une balle.,0,Un chien s'enfonce à y attaquer une balle.
Un homme et une femme sont vus par la clôture assise,1,"Un couple est assis à l'extérieur, s'en sentant"
Les trois garçons tiennent tous un dispositif de flottation dans l'eau,1,Les garçons portent des vêtements de fête.
Une communauté sud-africaine se réunit pour observer un événement.,2,Toute la communauté est à la maison en toute tranquillité
Deux hommes asiatiques travaillant sur le côté d'une rue avec des voitures,1,Il y a des hommes qui travaillent à l'extérieur.
Une femme et deux enfants marchent dans les étages supérieurs d',2,Il y a des gens qui se trouvent près d'un carnav
Six éclaireurs et pompomas en robes d’,0,Six éclaireurs en robes d'appoint sont en
"Deux enfants, un garçon en chemise bleue et une fille",1,l’enfant essayait de s’étonner à la bull
Trois personnes assiment à la table par la sirène rouge.,2,Deux personnes s'étaient éloignées de la sirène.
Une personne conduit une VTT par la boue.,2,Une personne conduit un camion-fourgonnette.
Trois jeunes hommes boussant sur un terrain derrière un barbecue souriant,2,Les hommes ont un sentiment de peur au sujet des activités de la journée.
Deux pompiers discutent de leur travail.,2,Des policiers s'envolent dans une voiture d'esca
Un petit chien brun porte une jupe de denim.,2,Un petit chien brun porte un chapeau bleu.
Un jeune couple dans une ville occupée,0,Il y a un couple dans la ville.
Une femme en chandail brun cure sur sa,0,Une femme portant un chandail céle à sa
Un groupe de coureurs jogging dans la neige près de certains bâtiments,1,Il est froid à l'extérieur de l'endroit où ils
Un homme chante dans son microphone.,1,Un homme chante sa chanson.
Un homme regarde l'eau.,0,Ce gentlemen s'intéresse à quelque chose.
Une course à vélo se glisse sur la colline vers un drapeau tand,0,Quelque chose s'enfonce en descente.
Une foule de gens se rassemblait dans une ville.,2,et ils s’en trouvent.
Un bulldozer jaune qui s'emploie à déplacer la terre.,-1,un camion jaune fait du travail
Un groupe de randonneurs se repose sur le sol devant certaines montagnes.,2,Un groupe de randonneurs est à l'intérieur.
Cette femelle semble marcher sur le côté d'une maison bleue,-1,Elle était du côté du phare
Une motocyclette s'efforce de regarder dans l'océan,0,Quelqu'un évolue à vélo
Un choreau qui s'est rendu sur scène avec des photographes,2,Un choreau qui s'est rendu à l'extérieur sur
Un homme dans un cisailleur ouvrier sur un panneau.,1,Un homme en saut bleu fixe un panneau.
Le tableau de bord d'une voiture avec un jouet de chien brun et,0,Un jouet de chien brun et une poupée rose sur le tableau de bord
Deux petits enfants portant des vêtements d'hiver en dehors pât,2,Un groupe de personnes à une funérailles.
Un homme ayant des cheveux curieux et des lunettes essaie de,1,Le bateau est un navire de croisière.
Une personne sur une minimoto en vêtement rouge et un tuchoir,2,"Une femme conduit sa voiture préférée en arrière de la route,"
Un homme pratique un sport nautique.,0,Une personne est près de l'eau.
Les travailleurs de la construction fixent la voie ferrée.,2,Un groupe de pêcheurs assis sur un bateau en attendant que le poisson m
Cyclistes en train de se rendre dans la rue.,0,Personnes en vélo en roulement.
"Quatre femmes dans une salle de séjour, dont trois jouent clairement un instrument",1,L'une des femmes est de jouer la guitare.
Un homme ayant un chapeau de bowler bleu et jaune sur lequel,1,Un homme parle à une foule.
L'homme s'enfonce dans la rue à l'extérieur.,0,Un homme utilise un broom pour nettoyer la route.
"Un groupe de jeunes Asiatiques se trouvent sur des marches, mangent e",0,Les jeunes Asiatiques mangent sur les escaliers.
Femmes portant un gros verre d'argent à perspicacité port,2,Une femme porte un perspicacé bleu et de petits verres
Deux jeunes hommes se battent mutuellement au milieu d'un champ.,0,Le terrain a des gens qui se battent dans elle.
Un technicien d'un vêtement propre examine une pièce grise carrée de,0,Une personne regarde quelque chose
Un enfant en t-shirt noir et des shorts de bord sau,0,Quelqu'un utilise le trampoline.
Un homme en t-shirt bleu kisse une femme dans un dessus-,1,un couple marié a un verre dans un bar
Un homme plus âgé mène une vache blanche dans une rue surpeupl,1,Un vieux homme emmene sa vache sur le marché.
Une fille en vêtement de bain bleu se promène dans l'océan.,2,Personne ne marche.
Un adulte et un enfant courent le long d'un lac.,2,Un adulte et un enfant jouent un jeu de table à
Un pique-nique extérieur avec beaucoup de bouteilles d'eau,2,Il n'y a pas d'eau autour.
Une jeune femme vêtue de blanc et ayant des cheveux liés,0,Une femme utilise une brosse pour peindre un mur rouge.
Quatre hommes posent devant un bateau à l'eau sec; trois,2,Une vache remorquant sur l'herbe de champ.
Un homme qui lise un livre sur le trottoir avec ses pa,0,Un homme se trouve en dehors de la lecture.
Deux chiens bruns traversent l'herbe.,0,Les chiens se joignent à l'extérieur.
Deux hommes se courent sur bicyclette.,2,Un seul homme emprunte son vélo
Un homme assis sur le siège des passagers d'un camion,0,Une séance humaine
Un cycliste emprunte un chemin boueux à travers la forêt.,2,Un homme mange le dîner.
Une femme à une table regardant vers le bas.,1,Femme à la recherche de sa chaussure perdue.
Deux femmes attendent à la gare de métro.,0,Deux humains dans une station de métro.
Une fille et un garçon portant des lunettes de nage se t,2,Deux garçons célèbrent.
"Un bébé, portant une chemise « Je suis le Boss », cri",2,L'adolescent crie et enclenche
Plusieurs personnes marchent sur une escalier et descendent dans une allée,0,Personnes qui montent et descendent les escaliers.
Un homme en noir approche un objet d'argent étrange,2,Un homme noir est seul.
La main d'une personne fie un oeuf et le jaune,0,un uf est fumé
Une fille en robe blanche emprunte une route de campagne.,0,La fille s'envole à l'extérieur
Un homme en torse gris s'enfonce à l,2,Un homme agit les mains avec son ami.
Un homme tient un éclaircissement au-dessus de sa tête,0,l'homme élève la main
"Deux femmes, une avec une caméra, s'envolent et touchent",2,Deux hommes se battent
Une femme ayant des bottes noires et un manteau noir marche,0,Une femme est en attente.
Un groupe d'enfants en costume brun exécutent.,1,Un groupe d'enfants s'aperçoit au salon des talents de
Une personne assise dans une chaise brune et tient des sacs,1,Une personne tient le dîner dans les sacs.
"La femme en vertu de la veste rouge, bleue, orange e",0,l’homme est photographié
Un garçon et une fille jouant sur la plage.,0,Le garçon et la fille sont à l'extérieur.
Une femme emprunte une moto rouge.,2,Une femme conduit une voiture bleue.
"Une femme en dessus noir se tient avec un autre homme, affi",0,Deux personnes regardent des robes à l'intérieur de plusieurs hangars
Les gens assiment autour d'une table où ils s',2,Les enfants jouent en étiquetage.
Un homme âgé en cuir noir marche en arrière.,1,Un homme âgé se promène au magasin pour acheter des produits alimentaires.
Une équipe de soccer pour enfants se tient sur un terrain de soccer.,2,L'équipe était à une soirée de nage.
Une femme chasse deux moutons avec une broom.,2,Une femme assise avec les deux moutons.
Une jeune fille portant un bikini bleu.,2,La jeune fille porte un bikini vert.
Une femme en chemise rouge dorme sur une couche à t,1,La femme porte des jeans bleus.
Un groupe de personnes entoure une personne qui se couche.,1,Le groupe s'intéresse à la victime noyade qui pond sur la
Deux femmes à l'arrière-plan d'une provocation donnent,1,Les femmes sont propriétaires du Jeep.
"2 filles jouant en volley-ball, une frappant le",0,2 girs jouent des sports.
Deux joueurs de basket-ball masculins participent à un jeu professionnel.,1,Il y a deux hommes qui jouent le basket-ball en France.
Un grand chien noir s'envole dans le sable sur la plage.,0,Il y a un animal sur une plage.
Deux hommes en uniforme jaune utilisent un hammer à hameaux.,1,Il y a plus de deux hommes qui travaillent.
Trois chiens jouent à l'extérieur.,1,Trois chiens jouent avec des jouets à mâcher.
Deux personnes se trouvent au sommet d'une falaise surp,0,Deux personnes se trouvent près d'une rivière.
Un homme qui tient un patinoire contre un ciel bleu avec des nuages blanc,2,Un homme à skateboarding dans un parc de skate.
Un homme en orange en tout temps travaillant sur un chantier de construction à,2,Les vêtements de l'homme sont bleus.
La fille joue sur un jeu de swing avec des anneaux.,1,La fille joue sur un grand élan avec des anneaux dans le parc
Une personne vêtue de bleu et de noir regarde sur une vue,2,Les collines sont vivantes avec le son de la musique.
Un homme plus âgé coutume une jeune fille.,2,Une femme plus âgée s'encourage à une jeune fille.
Une personne se tient sur les pics de neige et de glace.,0,Une personne se tient sur la neige.
Quelqu'un effectue des éditions de crayons à la musique de,1,"Pour mieux comprendre la note de Violoncelli, quelqu'un fait des notes sur"
Une femme sportive portant des courtes bleues et rouges se,1,La femme tente de rompre son record de javelin.
Une personne ayant une canne prend un nappe sur un banc de parc.,1,L'homme sans abri a pris un nappe sur le banc.
"Une femme peint le visage d'une autre personne, qui est toutes deux",0,Une femme s'acquitte d'une autre femme
Une personne en veste noire en face d'un bâtiment en pierre,2,Une personne en veste rouge en moto.
l'enfant tente d'escalade d'une grande roch,0,Un enfant se trouve près d'une roche.
Trois hommes se trouvent sur un quai entre deux bateaux et,0,Des hommes se trouvent sur un quai.
Le garçon en tronc rouge de nage saute sur le sable,1,Le garçon joue dans le sable.
Un homme âgé souriant crée une poterie.,2,Un homme en pâturage assis à un bar
"Il y a une femme qui emprunte un vélo en amont,",0,Une femme s'envole à la roue à l'
Une femme portant un chapeau noir et des lunettes de soleil blanches marche,2,La femme ne porte pas de lunettes pendant la marche.
"Le jeune homme est immergé dans son livre, en s'apprenant",0,L'homme lise.
Un jeune garçon fabrique des steaks sur barbecue.,0,Un garçon cuisinier.
Une petite voiture s'envole sur deux roues sur une rue village,2,La voiture a quatre roues
Un chien se saute sur la plage de sable.,1,Le remorqueur d'or se retombe du s
Un homme en costume rouge et jaune évolue à travers le,2,L’homme assis dans le salon et s’est ét
Un homme s'envole près d'un mur où il,1,Un homme est à l'extérieur.
Un enfant ayant les mains sur sa tête.,1,Un enfant fait un exercice d'étanchéité.
Un homme se trouve sur son côté gauche dans l'herbe.,2,Un homme s'enfonce à mettre en péril un
Un homme ayant une chemise bleue assise sur un lit,2,Deux hommes sont sans chemise.
Femme en regardant d'un immeuble surprenant.,1,elle peut être regardée ciel
Un homme marche un porc sur une cisaillement en amont,0,Un homme marche un porc sur une laisse.
Un chien tacheté roulera sur un tampon placé sur,1,Le Puppy joue sur le tapis de porte avant.
Les enfants jouent dans un trou dans le sable à la plage.,2,Il y a des hommes qui marchent.
Les vieux assis sur un banc et regardant sur un ballon,1,Quelques personnes âgées se trouvent sur un banc blanc.
Un homme en gilets pourpre a une expression sur son visage.,1,L'homme souriant.
Les enfants ayant à jouer dans des housses de papier à,0,Les enfants jouent
Il s'agit d'animaux très bien aménagés.,0,Il s'agit d'animaux.
"Deux hommes, l'un plus jeune que l'autre et portant",-1,Les deux hommes portent des lunettes.
Un souriant homme vérifie son filet sur le bateau.,0,Un homme est à l'extérieur.
et d’autres artistes en scène appuyant les pôles,0,Les gens sur la scène tiennent des pôles de bille pendant la danse
Personnes qui se trouvent sur un trottoir.,1,Une foule se rassemble dans un magasin.
Un homme muni d'un capteur de baseball et d',0,Un homme se trouve dans une salle de bain avec une tasse de café.
Trois petits garçons sur la plage regardent un autre garçon à l'en,1,Quatre frères se trouvent sur la plage et jouent du
Un homme ayant une tasse rouge à la main parlant à quelqu,0,Un homme a une tasse rouge
Un homme ayant le drapeau et une femme derrière un chariot,0,"Un homme et une femme se trouvent à l'extérieur,"
Une femme ayant un chapeau assis sur un patinoire qui se trouve au,1,Une femme parlant avec son mari au parc de patins.
Le skieur s’incline vers l’avant dans la neige.,0,Le skieur laisse des marques dans la neige.
"Alors que de nombreuses personnes ont émigré avec leurs chemises,",1,Les gens restaient plus chauds avec des couvertures.
Les photographes se trouvent dans un parc où ils prennent des photos,2,Personne ne prend des photos.
Nous prendrons cette photo ensemble et la mettre en face.,2,l’on parle au téléphone à mille milles de distance
Un homme ayant une barbe dans les tuyaux de jouant,0,L'homme joue de la musique.
Un homme porte des blais de rouleaux à l'aise,1,Un homme en rouleaux prend une pause avant de retourner chez lui
Une jeune fille s'asseoira sur le trottoir devant une,2,Un garçon s'envole à travers une rangée de voitures station
Une femme qui s'enfonce à l'écoute d'autres,2,et d'autres maladies
Deux personnes se trouvent dans une pièce dont l'une fume les coups,1,Les deux personnes dans la salle sont des femmes.
Une foule en éloge et célèbre dans le théâtre avec des,1,l’artiste a l’honneur de célébrer le théâtre en raison de
Un homme gardant un panneau avec un chien sur une laisse.,1,Le panneau indique « aucune nouvelle taxe ».
d’un homme qui marche sur une allée,0,Un homme qui marche à l'extérieur.
Deux hommes assis et en emballage des produits de boulangerie,2,"Les produits de boulangerie sont pondus, non accrochés, sur"
Cette photographie exprime une frustration intangible.,2,Cette photographie est heureuse
Un conducteur se trouve dans une voiture de course d'équipe Penske.,2,Il n'y a pas de conducteurs sur la piste.
"Une équipe de chirurgie militaire, une en camouflage, effectue une",2,Une équipe de chirurgie effectue une chirurgie cardiaque ouverte dans un auditor
Un groupe d'enfants marchent ensemble en une journée brillante.,1,Un groupe d'enfants marchent le long de la plage
"Deux boxers se battent, l'un frappe l'autre.",1,les boxers se battent dans le ring avec la foule en fl
Un brisedancer en rouge et en noir est il,2,Un oiseau fait un nid dans l'arbre.
La fille s'enfonce à l'écran avec un garçon,1,et il ne s'agit pas d'une vraie
Un homme portant une chemise blanche et des shorts rouges,2,Une femme portant une chemise blanche et des shorts rouges e
Six hommes roulent sur un trottoir en mouvement.,1,"Six hommes roulent sur un trottoir en mouvement, en parlant"
Un enfant regarde son ami par l'arbre.,0,Deux personnes sont à l'extérieur.
un petit garçon en courtes et en chaussures de tennis se prom,2,Deux jeunes filles marchent ensemble.
Un homme roule dans l'eau et d'autres,0,Quelque chose fonctionne.
une fille en robe jaune se tient sur la chaussée,1,La fille en jaune attend un autobus.
Le dîner en sablonnement avec un travailleur qui s,1,l’employé donne des échantillons gratuits aux clients
Un jeune homme dans un chandail bleu nettoyant des poissons t,0,Trois hommes regardent un homme nettoyer un poisson.
Un homme portant un veston assis et fumant une cigarette,2,Une femme portant un vêtement assis et fumant une cigarette.
Un homme à sac rouge emprunte son vélo sur une rue urbaine humide,1,Un homme est situé au centre-ville.
Une femme s'assiste dans une porte contenant du tissu et un,0,Une femme s'asseit dans une maison.
